DQN：
实验条件：抽象训练 point43
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=15
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000

反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 10:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= 5 * (int)(CarEnv.DSEIRED_DIS - dis)

episode 481, episode_reward 1230, epsilon 0.008033
episode 482, episode_reward 1250, epsilon 0.007953
episode 483, episode_reward 1260, epsilon 0.007873
episode 484, episode_reward 1220, epsilon 0.007795
episode 485, episode_reward 1280, epsilon 0.007717
episode 486, episode_reward 1290, epsilon 0.007640
episode 487, episode_reward 1250, epsilon 0.007563
episode 488, episode_reward 1290, epsilon 0.007488
episode 489, episode_reward 8000, epsilon 0.007413
episode 490, episode_reward 1675, epsilon 0.007339
episode 491, episode_reward 3200, epsilon 0.007265
episode 492, episode_reward 14985, epsilon 0.007193
episode 493, episode_reward 14695, epsilon 0.007121
episode 494, episode_reward 14605, epsilon 0.007049
episode 495, episode_reward 9325, epsilon 0.006979
episode 496, episode_reward 14880, epsilon 0.006909
episode 497, episode_reward 14030, epsilon 0.006840
episode 498, episode_reward 14860, epsilon 0.006772
episode 499, episode_reward 14850, epsilon 0.006704
episode 500, episode_reward 14685, epsilon 0.006637
episode 501, episode_reward 14905, epsilon 0.006570
episode 502, episode_reward 1225, epsilon 0.006505
episode 503, episode_reward 1215, epsilon 0.006440
episode 504, episode_reward 1195, epsilon 0.006375
episode 505, episode_reward 14705, epsilon 0.006312
episode 506, episode_reward 10995, epsilon 0.006248
episode 507, episode_reward 1220, epsilon 0.006186
episode 508, episode_reward 1200, epsilon 0.006124
episode 509, episode_reward 1315, epsilon 0.006063
episode 510, episode_reward 1305, epsilon 0.006002
episode 511, episode_reward 1255, epsilon 0.005942
episode 512, episode_reward 1290, epsilon 0.005883
episode 513, episode_reward 1365, epsilon 0.005824
episode 514, episode_reward 1255, epsilon 0.005766
episode 515, episode_reward 1340, epsilon 0.005708
episode 516, episode_reward 1260, epsilon 0.005651
episode 517, episode_reward 14885, epsilon 0.005594
episode 518, episode_reward 14805, epsilon 0.005539
episode 519, episode_reward 1695, epsilon 0.005483
episode 520, episode_reward 14515, epsilon 0.005428
episode 521, episode_reward 4750, epsilon 0.005374
episode 522, episode_reward 14960, epsilon 0.005320
episode 523, episode_reward 14840, epsilon 0.005267
episode 524, episode_reward 14845, epsilon 0.005214
episode 525, episode_reward 10880, epsilon 0.005162
episode 526, episode_reward 12405, epsilon 0.005111
