DQN：
实验条件：非抽象训练 pointdefault
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=15
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000

反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 10:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= 5 * (int)(CarEnv.DSEIRED_DIS - dis)


episode 295, episode_reward 240, epsilon 0.052089
episode 296, episode_reward 1430, epsilon 0.051568
episode 297, episode_reward 205, epsilon 0.051053
episode 298, episode_reward 205, epsilon 0.050542
episode 299, episode_reward -275, epsilon 0.050037
episode 300, episode_reward -265, epsilon 0.049536
episode 301, episode_reward -260, epsilon 0.049041
episode 302, episode_reward -280, epsilon 0.048550
episode 303, episode_reward 1390, epsilon 0.048065
episode 304, episode_reward 1345, epsilon 0.047584
episode 305, episode_reward 260, epsilon 0.047108
episode 306, episode_reward 220, epsilon 0.046637
episode 307, episode_reward -235, epsilon 0.046171
episode 308, episode_reward -270, epsilon 0.045709
episode 309, episode_reward 1305, epsilon 0.045252
episode 310, episode_reward 1390, epsilon 0.044800
episode 311, episode_reward 195, epsilon 0.044352
episode 312, episode_reward -240, epsilon 0.043908
episode 313, episode_reward 230, epsilon 0.043469
episode 314, episode_reward 1435, epsilon 0.043034
episode 315, episode_reward -260, epsilon 0.042604
episode 316, episode_reward 1255, epsilon 0.042178
episode 317, episode_reward -270, epsilon 0.041756
episode 318, episode_reward -275, epsilon 0.041339
episode 319, episode_reward 260, epsilon 0.040925
episode 320, episode_reward 1830, epsilon 0.040516
episode 321, episode_reward -250, epsilon 0.040111
episode 322, episode_reward -255, epsilon 0.039710
episode 323, episode_reward 1170, epsilon 0.039313
episode 324, episode_reward 195, epsilon 0.038920
episode 325, episode_reward -285, epsilon 0.038530
episode 326, episode_reward -275, epsilon 0.038145
episode 327, episode_reward -285, epsilon 0.037764
episode 328, episode_reward 1425, epsilon 0.037386
episode 329, episode_reward 1305, epsilon 0.037012
episode 330, episode_reward -250, epsilon 0.036642
episode 331, episode_reward 240, epsilon 0.036276
episode 332, episode_reward -260, epsilon 0.035913
episode 333, episode_reward 195, epsilon 0.035554
episode 334, episode_reward 230, epsilon 0.035198
episode 335, episode_reward 1300, epsilon 0.034846
episode 336, episode_reward -275, epsilon 0.034498
episode 337, episode_reward -240, epsilon 0.034153
episode 338, episode_reward 1325, epsilon 0.033811
episode 339, episode_reward 215, epsilon 0.033473
episode 340, episode_reward -270, epsilon 0.033138
episode 341, episode_reward -285, epsilon 0.032807
episode 342, episode_reward 1300, epsilon 0.032479
episode 343, episode_reward 235, epsilon 0.032154
episode 344, episode_reward 240, epsilon 0.031833
episode 345, episode_reward 235, epsilon 0.031514
episode 346, episode_reward 250, epsilon 0.031199
episode 347, episode_reward -290, epsilon 0.030887
episode 348, episode_reward -270, epsilon 0.030578
